codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A101,05/03/2020,00,28.6,30.6,28.5,71,72,60,22.9,23.0,22.0,1004.9,1004.9,1003.6,1.4,52,6.7,0.000,0.0
A101,05/03/2020,01,28.3,28.9,28.3,70,71,67,22.3,23.0,22.1,1005.5,1005.5,1004.9,0.4,205,3.0,0.000,0.0
A101,05/03/2020,02,26.8,29.2,26.8,82,82,69,23.5,24.2,22.4,1006.9,1006.9,1005.5,2.8,120,7.9,0.000,0.0
A101,05/03/2020,03,25.8,26.8,25.8,86,88,82,23.3,23.7,23.3,1006.7,1006.9,1006.5,0.7,104,5.4,0.000,0.0
A101,05/03/2020,04,25.7,26.0,25.5,88,89,86,23.6,23.9,23.3,1006.1,1007.0,1006.1,0.2,13,2.9,0.000,0.0
A101,05/03/2020,05,25.7,26.0,25.5,89,90,87,23.6,23.9,23.6,1005.4,1006.1,1005.4,0.4,278,2.7,0.000,0.2
A101,05/03/2020,06,26.0,26.0,25.5,88,90,88,23.8,23.9,23.6,1005.3,1005.5,1005.2,1.5,109,3.4,0.000,0.0
A101,05/03/2020,07,25.7,26.0,25.6,89,90,88,23.8,24.0,23.8,1004.6,1005.3,1004.6,1.4,107,4.3,0.000,0.0
A101,05/03/2020,08,26.0,26.0,25.6,87,90,87,23.7,23.9,23.7,1004.7,1004.7,1004.5,1.2,67,4.7,0.000,0.2
A101,05/03/2020,09,25.7,26.0,25.7,87,88,86,23.4,23.7,23.4,1005.2,1005.3,1004.7,0.4,50,2.8,0.000,0.0
A101,05/03/2020,10,25.6,25.9,25.5,86,88,85,23.0,23.4,23.0,1006.1,1006.1,1005.2,2.1,53,4.4,0.000,0.0
A101,05/03/2020,11,25.8,25.8,25.5,85,86,84,23.0,23.1,22.8,1007.1,1007.1,1006.1,0.6,356,4.4,97.77,0.0
A101,05/03/2020,12,25.9,26.2,25.8,85,86,83,23.2,23.4,23.0,1008.0,1008.0,1007.1,1.1,40,3.7,288.7,0.0
A101,05/03/2020,13,26.2,26.2,25.2,86,91,84,23.8,24.0,23.1,1008.9,1008.9,1008.0,0.7,62,3.9,388.4,0.6
A101,05/03/2020,14,27.7,27.7,26.2,80,88,80,24.0,24.2,23.3,1009.1,1009.2,1008.9,0.7,53,2.9,579.0,0.0
A101,05/03/2020,15,28.6,29.5,27.6,74,81,68,23.5,24.7,22.9,1008.5,1009.1,1008.5,2.4,90,4.9,1640.,0.0
A101,05/03/2020,16,29.7,29.8,28.5,69,75,69,23.4,24.3,23.3,1007.7,1008.5,1007.7,2.4,79,5.4,2336.,0.2
A101,05/03/2020,17,30.2,30.5,29.0,68,72,67,23.7,24.4,23.0,1006.5,1007.7,1006.5,1.9,106,5.4,2641.,0.0
A101,05/03/2020,18,29.6,31.2,29.1,73,74,64,24.1,24.5,23.3,1004.9,1006.5,1004.9,1.8,105,5.5,1373.,0.0
A101,05/03/2020,19,27.8,31.1,27.8,75,75,64,23.0,24.6,22.9,1003.7,1004.9,1003.7,2.0,55,5.4,1489.,0.0
A101,05/03/2020,20,24.6,27.9,24.0,94,94,75,23.6,23.6,22.6,1004.4,1005.0,1003.7,0.6,32,7.4,67.24,39.2
A101,05/03/2020,21,25.3,25.3,24.6,94,94,94,24.2,24.2,23.6,1004.1,1004.4,1004.1,0.5,11,1.6,128.0,0.0
A101,05/03/2020,22,25.5,25.7,25.3,92,94,91,24.1,24.3,23.9,1004.0,1004.1,1003.5,0.4,20,2.4,90.32,0.0
A101,05/03/2020,23,25.4,25.7,25.2,91,92,90,23.8,24.2,23.7,1005.0,1005.0,1004.0,0.4,343,1.2,3.833,0.0
