nome,metodo_descoberta,num_plan_sist,periodo_orbita,distancia,massa,raio_terra,ano_descoberta,num_luas,link,data_publicacao
HD 114762 b,Radial Velocity,1,83.9151,40.23,0.8,,1989,0,http://exoplanets.org/detail/HD_114762_b,1989-05
PSR B1257+12 c,Pulsar Timing,3,66.5419,600.0,1.4,,1992,0,http://exoplanets.org/detail/PSR_B1257+12_B,1992-01
PSR B1257+12 d,Pulsar Timing,3,98.2114,600.0,1.4,,1992,0,http://exoplanets.org/detail/PSR_B1257+12_C,1992-01
PSR B1257+12 b,Pulsar Timing,3,25.262,600.0,1.4,,1994,0,http://exoplanets.org/detail/PSR_B1257+12_A,1994-04
51 Peg b,Radial Velocity,1,4.230785,15.47,1.12,,1995,0,http://exoplanets.org/detail/51_Peg_b,1995-11
tau Boo b,Radial Velocity,1,3.3124568,15.66,1.34,,1996,0,http://exoplanets.org/detail/tau_Boo_b,1997-01
47 UMa b,Radial Velocity,3,1078.0,13.8,1.03,,1996,0,http://exoplanets.org/detail/47_UMa_b,1996-06
55 Cnc b,Radial Velocity,5,14.65152,12.59,0.91,,1996,0,http://exoplanets.org/detail/55_Cnc_b,1997-01
ups And b,Radial Velocity,3,4.617033,13.41,1.3,,1996,0,http://exoplanets.org/detail/upsilon_And_b,1997-01
16 Cyg B b,Radial Velocity,1,798.5,21.15,1.08,,1996,0,http://exoplanets.org/detail/16_Cyg_B_b,1997-07
70 Vir b,Radial Velocity,1,116.688,17.91,1.09,,1996,0,http://exoplanets.org/detail/70_Vir_b,1996-06
rho CrB b,Radial Velocity,2,39.8458,17.48,0.89,,1997,0,http://exoplanets.org/detail/rho_CrB_b,1997-07
HD 187123 b,Radial Velocity,2,3.0965828,46.02,1.0,,1998,0,http://exoplanets.org/detail/HD_187123_b,1998-12
HD 217107 b,Radial Velocity,2,7.12682,20.07,1.0,,1998,0,http://exoplanets.org/detail/HD_217107_b,1999-01
HD 210277 b,Radial Velocity,1,442.19,21.31,1.01,,1998,0,http://exoplanets.org/detail/HD_210277_b,1999-07
HD 168443 b,Radial Velocity,2,58.11247,39.67,0.99,,1998,0,http://exoplanets.org/detail/HD_168443_b,1999-07
